1;1.7976931348623157E308;[];####0.0

2;9.269993961268717;[3, 9, 9, 9, 9, 4];####3.270440251572327

3;9.269993961268717;[3, 9, 9, 9, 9, 4];####3.270440251572327

4;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

5;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

6;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

7;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

8;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

9;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

10;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

11;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

12;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

13;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

14;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

15;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

16;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

17;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

18;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

19;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

20;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

21;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

22;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

23;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

24;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

25;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

26;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

27;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

28;8.836505035022338;[1, 9, 9, 9, 9, 4];####3.1175059952038366

